spec,item,was,now
Arms,Belt of One-Hundred Deaths,expansion,multiPhase
Fury,Belt of One-Hundred Deaths,expansion,multiPhase
Ret,Midnight Chestguard,multiPhase,phase
Disc,Swiftheal Mantle,multiPhase,phase
HolyPriest,Swiftheal Mantle,multiPhase,phase
Enh,Belt of One-Hundred Deaths,expansion,multiPhase
Arcane,Leggings of Channeled Elements,multiPhase,phase
AffliLock,Leggings of Channeled Elements,multiPhase,phase
DemoLock,Cowl of the Illidari High Lord,multiPhase,phase
DestroLock,Leggings of Channeled Elements,multiPhase,phase
RestoDruid,Cowl of Benevolence,multiPhase,phase
