ok,correct_boss,current_guess,item,id,slot,type,role,wowhead
y,Supremus,Supremus,Band of the Abyssal Lord,32261,Finger,Ring,Physical,https://www.wowhead.com/tbc/item=32261
y,Supremus,Supremus,Bands of the Coming Storm,32259,Wrist,Mail,Caster,https://www.wowhead.com/tbc/item=32259
y,Supremus,Supremus,Choker of Endless Nightmares,32260,Neck,Neck,Physical,https://www.wowhead.com/tbc/item=32260
y,Supremus,Supremus,Felstone Bulwark,32255,Off-Hand,Shield,Healer,https://www.wowhead.com/tbc/item=32255
y,Supremus,Supremus,Idol of the White Stag,32257,Relic,Idol,Physical,https://www.wowhead.com/tbc/item=32257
y,Supremus,Supremus,Legionkiller,32253,Ranged,Crossbow,Physical,https://www.wowhead.com/tbc/item=32253
y,Supremus,Supremus,Naturalist's Preserving Cinch,32258,Waist,Mail,Healer,https://www.wowhead.com/tbc/item=32258
y,Supremus,Supremus,Pauldrons of Abyssal Fury,32250,Shoulder,Plate,Tank,https://www.wowhead.com/tbc/item=32250
y,Supremus,Supremus,Syphon of the Nathrezim,32262,One-Hand,1H Mace,Physical,https://www.wowhead.com/tbc/item=32262
y,Supremus,Supremus,The Brutalizer,32254,One-Hand,1H Axe,Tank,https://www.wowhead.com/tbc/item=32254
y,Supremus,Supremus,Waistwrap of Infinity,32256,Waist,Cloth,Caster,https://www.wowhead.com/tbc/item=32256
y,Teron Gorefiend,Shade of Akama,Botanist's Gloves of Growth,32328,Hands,Leather,Healer,https://www.wowhead.com/tbc/item=32328
y,Teron Gorefiend,Shade of Akama,Gauntlets of Enforcement,32280,Hands,Plate,Tank,https://www.wowhead.com/tbc/item=32280
y,Teron Gorefiend,Shade of Akama,Girdle of Lordaeron's Fallen,32512,Waist,Plate,Healer,https://www.wowhead.com/tbc/item=32512
y,Teron Gorefiend,Shade of Akama,Insidious Bands,32324,Wrist,Leather,Physical,https://www.wowhead.com/tbc/item=32324
y,Teron Gorefiend,Shade of Akama,Rifle of the Stoic Guardian,32325,Ranged,Gun,Tank,https://www.wowhead.com/tbc/item=32325
y,Teron Gorefiend,Shade of Akama,Softstep Boots of Tracking,32510,Feet,Mail,Physical,https://www.wowhead.com/tbc/item=32510
y,Teron Gorefiend,Shade of Akama,Soul Cleaver,32348,Two-Hand,2H Axe,Physical,https://www.wowhead.com/tbc/item=32348
y,Teron Gorefiend,Shade of Akama,Totem of Ancestral Guidance,32330,Relic,Totem,Caster,https://www.wowhead.com/tbc/item=32330
y,Teron Gorefiend,Shade of Akama,Twisted Blades of Zarak,32326,Ranged,Thrown,Physical,https://www.wowhead.com/tbc/item=32326
y,Shade of Akama,Teron Gorefiend,Flashfire Girdle,32276,Waist,Mail,Caster,https://www.wowhead.com/tbc/item=32276
y,Shade of Akama,Teron Gorefiend,Kilt of Immortal Nature,32271,Legs,Leather,Healer,https://www.wowhead.com/tbc/item=32271
y,Gurtogg Bloodboil,Teron Gorefiend,Shadowmoon Insignia,32501,Trinket,Trinket,Tank,https://www.wowhead.com/tbc/item=32501
y,Gurtogg Bloodboil,Teron Gorefiend,Shroud of Forgiveness,32337,Back,Cloak,Healer,https://www.wowhead.com/tbc/item=32337
y,Shade of Akama,Teron Gorefiend,Spiritwalker Gauntlets,32275,Hands,Mail,Healer,https://www.wowhead.com/tbc/item=32275
y,Gurtogg Bloodboil,Teron Gorefiend,Unstoppable Aggressor's Ring,32335,Finger,Ring,Physical,https://www.wowhead.com/tbc/item=32335
y,Gurtogg Bloodboil,Gurtogg Bloodboil,Girdle of Stability,32333,Waist,Plate,Tank,https://www.wowhead.com/tbc/item=32333
y,Gurtogg Bloodboil,Gurtogg Bloodboil,Grips of Silent Justice,32278,Hands,Plate,Physical,https://www.wowhead.com/tbc/item=32278
y,Gurtogg Bloodboil,Gurtogg Bloodboil,Leggings of Divine Retribution,32341,Legs,Plate,Physical,https://www.wowhead.com/tbc/item=32341
y,Shade of Akama,Gurtogg Bloodboil,Praetorian's Legguards,32263,Legs,Plate,Tank,https://www.wowhead.com/tbc/item=32263
y,Shade of Akama,Gurtogg Bloodboil,Ring of Deceitful Intent,32266,Finger,Ring,Physical,https://www.wowhead.com/tbc/item=32266
y,Shade of Akama,Gurtogg Bloodboil,The Seeker's Wristguards,32279,Wrist,Plate,Tank,https://www.wowhead.com/tbc/item=32279
y,Gurtogg Bloodboil,Gurtogg Bloodboil,Vest of Mounting Assault,32334,Chest,Mail,Physical,https://www.wowhead.com/tbc/item=32334
y,Illidari Council,Reliquary of Souls,Belt of Divine Guidance,32519,Waist,Cloth,Healer,https://www.wowhead.com/tbc/item=32519
y,Shade of Akama,Reliquary of Souls,Blind-Seers Icon,32361,Off-Hand,Off-hand,Caster,https://www.wowhead.com/tbc/item=32361
y,Gurtogg Bloodboil,Reliquary of Souls,Blood-cursed Shoulderpads,32338,Shoulder,Cloth,Caster,https://www.wowhead.com/tbc/item=32338
y,Reliquary of Souls,Reliquary of Souls,Boneweave Girdle,32346,Waist,Mail,Physical,https://www.wowhead.com/tbc/item=32346
y,Reliquary of Souls,Reliquary of Souls,Crown of Empowered Fate,32354,Head,Plate,Healer,https://www.wowhead.com/tbc/item=32354
y,Reliquary of Souls,Reliquary of Souls,Elunite Empowered Bracers,32351,Wrist,Leather,Caster,https://www.wowhead.com/tbc/item=32351
y,Shade of Akama,Reliquary of Souls,Focused Mana Bindings,32270,Wrist,Cloth,Caster,https://www.wowhead.com/tbc/item=32270
y,Gurtogg Bloodboil,Reliquary of Souls,Garments of Temperance,32340,Chest,Cloth,Healer,https://www.wowhead.com/tbc/item=32340
y,Reliquary of Souls,Reliquary of Souls,Gloves of Unfailing Faith,32353,Hands,Cloth,Healer,https://www.wowhead.com/tbc/item=32353
y,Reliquary of Souls,Reliquary of Souls,Grips of Damnation,32347,Hands,Leather,Physical,https://www.wowhead.com/tbc/item=32347
y,Reliquary of Souls,Reliquary of Souls,Naaru-Blessed Life Rod,32363,Ranged,Wand,Healer,https://www.wowhead.com/tbc/item=32363
y,Reliquary of Souls,Reliquary of Souls,Naturewarden's Treads,32352,Feet,Leather,Caster,https://www.wowhead.com/tbc/item=32352
y,Reliquary of Souls,Reliquary of Souls,Pendant of Titans,32362,Neck,Neck,Tank,https://www.wowhead.com/tbc/item=32362
y,Shade of Akama,Reliquary of Souls,Shadow-walker's Cord,32265,Waist,Leather,Physical,https://www.wowhead.com/tbc/item=32265
y,Shade of Akama,Reliquary of Souls,Shoulders of the Hidden Predator,32264,Shoulder,Mail,Physical,https://www.wowhead.com/tbc/item=32264
y,Reliquary of Souls,Reliquary of Souls,The Wavemender's Mantle,32517,Shoulder,Mail,Healer,https://www.wowhead.com/tbc/item=32517
y,Reliquary of Souls,Reliquary of Souls,Torch of the Damned,32332,Two-Hand,2H Mace,Physical,https://www.wowhead.com/tbc/item=32332
y,Reliquary of Souls,Reliquary of Souls,Touch of Inspiration,32350,Off-Hand,Off-hand,Healer,https://www.wowhead.com/tbc/item=32350
